word	classification	notes
github	tech
gitlab	tech
bitbucket	tech
gitea	tech
aws	tech
gcp	tech
azure	tech
cloudflare	tech
vercel	tech
netlify	tech
heroku	tech
supabase	tech
firebase	tech
firestore	tech
dynamodb	tech
postgres	tech
postgresql	tech
mysql	tech
mariadb	tech
mongodb	tech
redis	tech
sqlite	tech
cassandra	tech
neo4j	tech
cockroachdb	tech
docker	tech
kubernetes	tech
k8s	tech
podman	tech
helm	tech
nomad	tech
nextjs	tech
nuxt	tech
nuxtjs	tech
sveltekit	tech
astro	tech
qwik	tech
solidjs	tech
remix	tech
tanstack	tech
gatsby	tech
reactjs	tech
vuejs	tech
angularjs	tech
emberjs	tech
svelte	tech
kotlin	tech
rust	tech
golang	tech
typescript	tech
javascript	tech
jetpack	tech
compose	tech
flutter	tech
dart	tech
swiftui	tech
xamarin	tech
ionic	tech
cordova	tech
webpack	tech
vite	tech
rollup	tech
parcel	tech
esbuild	tech
turbopack	tech
gradle	tech
maven	tech
npm	tech
pnpm	tech
yarn	tech
bun	tech
bunx	tech
pnpx	tech
npx	tech
nodejs	tech
figma	tech
canva	tech
miro	tech
jest	tech
vitest	tech
cypress	tech
playwright	tech
mocha	tech
chai	tech
selenium	tech
drizzle	tech
prisma	tech
sequelize	tech
typeorm	tech
mongoose	tech
graphql	tech
restful	tech
grpc	tech
websocket	tech
webrtc	tech
tailwindcss	tech
tailwind	tech
bootstrap	tech
chakraui	tech
shadcn	tech
radix	tech
headlessui	tech
redux	tech
mobx	tech
zustand	tech
recoil	tech
jotai	tech
pinia	tech
vuex	tech
effect	tech
fpts	tech
api	tech
sdk	tech
cli	tech
gui	tech
url	tech
uri	tech
http	tech
https	tech
json	tech
xml	tech
yaml	tech
toml	tech
csv	tech
sql	tech
nosql	tech
orm	tech
jwt	tech
oauth	tech
saml	tech
ldap	tech
ssl	tech
tls	tech
dns	tech
dhcp	tech
tcp	tech
udp	tech
ip	tech
mac	tech
nat	tech
vpn	tech
pwa	tech
spa	tech
ssr	tech
ssg	tech
csr	tech
isr	tech
mpa	tech
mvc	tech
mvp	tech
mvvm	tech
ide	tech
vscode	tech
intellij	tech
webstorm	tech
pycharm	tech
phpstorm	tech
ios	tech
macos	tech
ipados	tech
watchos	tech
tvos	tech
devops	tech
ci	tech
cd	tech
saas	tech
paas	tech
iaas	tech
baas	tech
faas	tech
hlm	ignore	common Indonesian abbreviation for "halaman"
hal	ignore	"halaman" abbreviation
tgl	ignore	"tanggal" abbreviation
thn	ignore	"tahun" abbreviation
dsb	ignore	"dan sebagainya"
dll	ignore	"dan lain-lain"
dst	ignore	"dan seterusnya"
yg	ignore	"yang" abbreviation
dgn	ignore	"dengan" abbreviation
dr	ignore	"dari" abbreviation
no	ignore	"nomor" abbreviation
vol	ignore	"volume" abbreviation
ed	ignore	"edisi" abbreviation
jl	ignore	"jalan" abbreviation
